Method,Unfreeze,Backbone,1,16,64,128
linear_probe,False,SurgVLP,0.39 (30),0.56 (30),0.59 (30),0.62 (30)
linear_probe++,False,SurgVLP,0.37 (100),0.43 (100),0.49 (100),0.58 (100)
bi_cross_attn_text,False,SurgVLP,0.38 (30),0.61 (30),0.65 (30),0.61 (30)
negation_nce,False,SurgVLP,0.38 (50),0.40 (50),0.40 (50),0.40 (50)
