timestamp,method,attn_pool,precision_avg,recall_avg,f1_avg,mAP_avg,batch_size,early_stop,annealling,lr,num_shots,tasks,epochs,unfreeze_vision,unfreeze_text,init_alpha,backbone
// freeze encoder
2025-08-01 16:39:48,linear_probe,False,0.5555,0.6931,0.6166,0.348,64,NA,True,0.001,128,3,30,False,False,NA,NA,SurgVLP,NA,NA,NA
2025-08-01 23:26:36,linear_probe,False,0.5567,0.6797,0.612,0.358,128,NA,True,0.001,256,3,30,False,False,NA,NA,SurgVLP,NA,NA,NA
2025-08-02 13:32:27,linear_probe,False,0.568,0.6852,0.6211,0.3598,256,NA,True,0.001,512,3,30,False,False,NA,NA,SurgVLP,NA,NA,NA
2025-08-02 13:48:20,linear_probe,False,0.2273,0.5129,0.3133,0.2268,64,NA,True,0.001,1,3,30,False,False,NA,NA,HecVL,NA,NA,NA
2025-08-02 14:33:52,linear_probe,False,0.2782,0.5908,0.3774,0.2823,64,NA,True,0.001,16,3,30,False,False,NA,NA,HecVL,NA,NA,NA
2025-08-02 16:25:32,linear_probe,False,0.3004,0.6536,0.4098,0.2803,64,NA,True,0.001,64,3,30,False,False,NA,NA,HecVL,NA,NA,NA
2025-08-02 20:09:47,linear_probe,False,0.2939,0.6645,0.4068,0.273,64,NA,True,0.001,128,3,30,False,False,NA,NA,HecVL,NA,NA,NA
2025-08-03 03:18:12,linear_probe,False,0.2822,0.6189,0.3852,0.2797,128,NA,True,0.001,256,3,30,False,False,NA,NA,HecVL,NA,NA,NA
2025-08-03 18:19:05,linear_probe,False,0.3013,0.6368,0.4069,0.276,256,NA,True,0.001,512,3,30,False,False,NA,NA,HecVL,NA,NA,NA

2025-08-08 04:01:59,linear_probe,False,0.3271,0.4891,0.3905,0.2077,64,NA,True,0.001,1,3,30,False,False,NA,NA,SurgVLP,NA,NA,NA
2025-08-08 04:11:11,linear_probe,False,0.5019,0.6463,0.5646,0.2891,64,NA,True,0.001,16,3,30,False,False,NA,NA,SurgVLP,NA,NA,NA
2025-08-08 04:22:35,linear_probe,False,0.5338,0.6655,0.5921,0.3368,64,NA,True,0.001,64,3,30,False,False,NA,NA,SurgVLP,NA,NA,NA
2025-08-08 04:38:49,linear_probe,False,0.5555,0.6931,0.6166,0.348,64,NA,True,0.001,128,3,30,False,False,NA,NA,SurgVLP,NA,NA,NA

2025-08-12 00:56:49,linear_probe,False,0.2273,0.5129,0.3133,0.2268,64,NA,True,0.001,1,3,30,False,False,NA,NA,HecVL,NA,NA,NA
2025-08-12 01:05:03,linear_probe,False,0.2782,0.5908,0.3774,0.2823,64,NA,True,0.001,16,3,30,False,False,NA,NA,HecVL,NA,NA,NA
2025-08-12 01:14:19,linear_probe,False,0.3004,0.6536,0.4098,0.2803,64,NA,True,0.001,64,3,30,False,False,NA,NA,HecVL,NA,NA,NA
2025-08-12 01:28:37,linear_probe,False,0.2939,0.6645,0.4068,0.273,64,NA,True,0.001,128,3,30,False,False,NA,NA,HecVL,NA,NA,NA
